,Neighborhood,Borough,COVID_CASE_RATE
114,Bath Beach/Dyker Heights,Brooklyn,1653.28
115,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,2229.44
116,Midwood,Brooklyn,2837.41
117,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,1235.31
118,Sunset Park,Brooklyn,2125.85
119,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,1921.12
120,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,2486.76
121,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,2760.87
122,Canarsie,Brooklyn,3015.07
123,Bushwick/East Williamsburg,Brooklyn,2146.14
124,Clinton Hill/Prospect Heights,Brooklyn,1603.23
125,East New York,Brooklyn,4462.93
126,Flushing/Murray Hill,Queens,2444.24
127,Flushing/Murray Hill/Queensboro Hill,Queens,1910.92
128,College Point,Queens,2615.47
129,Whitestone,Queens,2201.34
130,Auburndale/Murray Hill,Queens,1747.25
131,Bayside (North),Queens,1781.25
132,Bayside (North)/Bayside (South),Queens,1730.3
133,Douglaston-Little Neck,Queens,1933.7
134,Douglaston-Little Neck,Queens,1452.71
135,Bayside (South)/Oakland Gardens,Queens,1409.04
136,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,2079.42
137,Fresh Meadows/Hillcrest,Queens,2954.12
138,Kew Gardens Hills/Pomonok,Queens,2666.56
139,Corona/North Corona,Queens,4441.99
140,Airport/East Elmhurst,Queens,4678.81
141,Jackson Heights/Rikers Island,Queens,4301.15
142,Jackson Heights,Queens,4366.81
143,Elmhurst,Queens,3687.72
144,Rego Park,Queens,2711.21
145,Forest Hills,Queens,2160.08
146,Woodside,Queens,2816.05
147,Maspeth,Queens,2292.34
148,Middle Village,Queens,2403.61
149,Glendale/Ridgewood,Queens,2293.79
150,Cambria Heights,Queens,3503.42
151,St. Albans,Queens,3316.65
152,Laurelton/Rosedale,Queens,3177.7
153,Hamilton Beach/Howard Beach/Lindenwood,Queens,2993.04
154,Kew Gardens,Queens,2906.27
155,Ozone Park,Queens,2855.59
156,Ozone Park,Queens,2977.23
157,Richmond Hill,Queens,3109.81
158,Richmond Hill/South Ozone Park,Queens,2527.1
159,South Ozone Park,Queens,2980.44
160,Woodhaven,Queens,2994.59
161,Rosedale,Queens,3122.63
162,Hollis/Holliswood,Queens,3545.44
163,Bellerose,Queens,2553.62
164,Bellerose/Hollis Hills/Holliswood,Queens,3571.37
165,Queens Village,Queens,3621.79
166,Queens Village,Queens,3631.0
167,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,3055.6
168,Jamaica,Queens,2791.67
169,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,3270.84
170,Briarwood/Jamaica,Queens,2989.74
171,South Jamaica/South Ozone Park,Queens,2744.21
172,Edgemere/Far Rockaway,Queens,3967.02
173,Arverne/Edgemere,Queens,3339.92
174,Arverne/Broad Channel,Queens,2786.47
175,Belle Harbor-Neponsit/Rockaway Park,Queens,3763.06
176,Breezy Point,Queens,3138.53
